transaction_time;customer;product_name;category_name;quantity;unit_price
2018-04-02 10:36:34;hari_kumar.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;24;45.6
2018-04-02 10:37:54;howard_snyder.fejkmejl@gmail.com;Queso Cabrales;Dairy Products;3;21.0
2018-04-02 10:48:45;horst_kloss.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;40;314.16
2018-04-02 10:59:41;patricia_mckenna.fejkmejl@gmail.com;Mascarpone Fabioli;Dairy Products;35;32.0
2018-04-02 11:03:48;jose_pavarotti.fejkmejl@gmail.com;Pâté chinois;Meat/Poultry;40;24.0
2018-04-02 11:03:51;horst_kloss.fejkmejl@gmail.com;Lakkalikööri;Beverages;90;
2018-04-02 11:12:34;pirkko_koskitalo.fejkmejl@gmail.com;Thüringer Rostbratwurst;Meat/Poultry;10;123.79
2018-04-02 11:13:22;yoshi_latimer.fejkmejl@gmail.com;Tarte au sucre;Confections;10;
2018-04-02 11:27:41;felipe_izquierdo.fejkmejl@gmail.com;Carnarvon Tigers;Seafood;25;62.5
2018-04-02 11:34:54;renate_messner.fejkmejl@gmail.com;Grandma's Boysenberry Spread;Condiments;20;25.0
2018-04-02 11:37:45;anabela_domingues.fejkmejl@gmail.com;Chef Anton's Cajun Seasoning;Condiments;20;22.0
2018-04-02 11:38:49;isabel_de_castro.fejkmejl@gmail.com;Sir Rodney's Scones;Confections;10;FREE
2018-04-02 11:39:32;rene_phillips.fejkmejl@gmail.com;Pavlova;Confections;20;17.45
2018-04-02 11:45:37;matti_karttunen.fejkmejl@gmail.com;Ipoh Coffee;Beverages;6;46.0
2018-04-02 11:55:56;roland_mendel.fejkmejl@gmail.com;Camembert Pierrot;Dairy Products;60;34.0
2018-04-02 11:56:36;maria_larsson.fejkmejl@gmail.com;Mozzarella di Giovanni;Dairy Products;24;34.8
2018-04-02 11:56:54;liu_wong.fejkmejl@gmail.com;Filo Mix;Grains/Cereals;10;7.0
2018-04-02 11:56:56;horst_kloss.fejkmejl@gmail.com;Schoggi Schokolade;Confections;120;43.9
2018-04-02 11:56:59;roland_mendel.fejkmejl@gmail.com;Pavlova;Confections;60;17.45
2018-04-02 11:58:52;roland_mendel.fejkmejl@gmail.com;Outback Lager;Beverages;30;15.0
2018-04-02 12:05:52;paula_wilson.fejkmejl@gmail.com;Wimmers gute Semmelknödel;Grains/Cereals;30;33.25
2018-04-02 12:06:43;frédérique_citeaux.fejkmejl@gmail.com;Chai;Beverages;25;FREE
2018-04-02 12:10:38;carlos_hernández.fejkmejl@gmail.com;Outback Lager;Beverages;12;15.0
2018-04-02 12:10:48;patricia_mckenna.fejkmejl@gmail.com;Flotemysost;Dairy Products;30;21.5
2018-04-02 12:18:44;rene_phillips.fejkmejl@gmail.com;Alice Mutton;Meat/Poultry;20;39.0
2018-04-02 12:29:41;lino_rodriguez.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;10;4.5
2018-04-02 12:30:42;karl_jablonski.fejkmejl@gmail.com;Sasquatch Ale;Beverages;35;14.0
2018-04-02 12:39:28;elizabeth_lincoln.fejkmejl@gmail.com;Mozzarella di Giovanni;Dairy Products;35;34.8
2018-04-02 13:19:02;patricia_mckenna.fejkmejl@gmail.com;Chang;Beverages;7;19.0
2018-04-02 13:21:14;hanna_moos.fejkmejl@gmail.com;Tourtière;Meat/Poultry;20;7.45
2018-04-02 13:37:24;rita_müller.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;20;38.0
2018-04-02 13:38:45;daniel_tonini.fejkmejl@gmail.com;Outback Lager;Beverages;4;15.0
2018-04-02 13:46:57;annette_roulet.fejkmejl@gmail.com;Geitost;Dairy Products;20;2.5
2018-04-02 13:55:37;bernardo_batista.fejkmejl@gmail.com;Steeleye Stout;Beverages;20;18.0
2018-04-02 13:56:33;patricio_simpson.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;8;45.6
2018-04-02 14:12:51;georg_pipps.fejkmejl@gmail.com;Mascarpone Fabioli;Dairy Products;20;32.0
2018-04-02 14:21:37;antonio_moreno.fejkmejl@gmail.com;Singaporean Hokkien Fried Mee;Grains/Cereals;20;14.0
2018-04-02 14:35:54;aria_cruz.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;10;4.5
2018-04-02 14:44:01;georg_pipps.fejkmejl@gmail.com;Lakkalikööri;Beverages;50;18.0
2018-04-02 14:46:14;zbyszek.nowak.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;30;314.16
2018-04-02 14:50:46;christina_berglund.fejkmejl@gmail.com;Mascarpone Fabioli;Dairy Products;10;32.0
2018-04-02 15:02:58;karl_jablonski.fejkmejl@gmail.com;Geitost;Dairy Products;60;2.5
2018-04-02 15:07:29;jaime_yorres.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;21;314.16
2018-04-02 15:09:10;josé_pedro_freyre.fejkmejl@gmail.com;Teatime Chocolate Biscuits;Confections;10;
2018-04-02 15:19:59;paula_wilson.fejkmejl@gmail.com;Chang;Beverages;15;19.0
2018-04-02 15:21:07;isabel_de_castro.fejkmejl@gmail.com;Singaporean Hokkien Fried Mee;Grains/Cereals;14;14.0
2018-04-02 15:33:59;laurence_lebihan.fejkmejl@gmail.com;Grandma's Boysenberry Spread;Condiments;20;25.0
2018-04-02 15:34:31;jose_pavarotti.fejkmejl@gmail.com;Gumbär Gummibärchen;Confections;30;31.23
2018-04-02 15:40:34;sergio_gutiérrez.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;7;53.0
2018-04-02 15:49:58;mario_pontes.fejkmejl@gmail.com;Inlagd Sill;Seafood;15;FREE
2018-04-02 15:54:05;paula_wilson.fejkmejl@gmail.com;Tarte au sucre;Confections;25;49.3
2018-04-02 16:01:18;elizabeth_lincoln.fejkmejl@gmail.com;Tarte au sucre;Confections;21;49.3
2018-04-02 16:04:44;antonio_moreno.fejkmejl@gmail.com;Ravioli Angelo;Grains/Cereals;5;FREE
2018-04-02 16:10:42;laurence_lebihan.fejkmejl@gmail.com;Spegesild;Seafood;21;12.0
2018-04-02 16:13:15;paula_wilson.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;10;9.65
2018-04-02 16:14:51;ann_devon.fejkmejl@gmail.com;Queso Cabrales;Dairy Products;5;21.0
2018-04-02 16:17:21;patricia_mckenna.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;48;53.0
2018-04-02 16:22:18;roland_mendel.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;120;53.0
2018-04-02 16:33:08;paula_wilson.fejkmejl@gmail.com;Uncle Bob's Organic Dried Pears;Produce;60;30.0
2018-04-02 16:34:16;carlos_hernández.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;20;53.0
2018-04-02 16:36:52;jonas_bergulfsen.fejkmejl@gmail.com;Uncle Bob's Organic Dried Pears;Produce;12;30.0
2018-04-02 16:59:33;jose_pavarotti.fejkmejl@gmail.com;Borówka Basia;Luxury;50;21.37
2018-04-02 17:03:59;jose_pavarotti.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;21;4.5
2018-04-02 17:22:25;roland_mendel.fejkmejl@gmail.com;Pâté chinois;Meat/Poultry;65;24.0
2018-04-02 17:46:17;giovanni_rovelli.fejkmejl@gmail.com;Inlagd Sill;Seafood;30;19.0
2018-04-02 17:47:16;henriette_pfalzheim.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;20;9.65
2018-04-02 17:54:00;paula_wilson.fejkmejl@gmail.com;Pâté chinois;Meat/Poultry;25;24.0
2018-04-02 17:55:27;paula_parente.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;12;13.0
2018-04-02 18:05:45;horst_kloss.fejkmejl@gmail.com;Teatime Chocolate Biscuits;Confections;80;9.2
2018-04-02 18:19:07;michael_holz.fejkmejl@gmail.com;Konbu;Seafood;42;6.0
2018-04-02 18:31:04;maurizio_moroni.fejkmejl@gmail.com;Perth Pasties;Meat/Poultry;10;32.8
2018-04-02 18:35:59;matti_karttunen.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;20;FREE
2018-04-02 18:41:14;patricio_simpson.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;20;314.16
2018-04-02 18:44:39;felipe_izquierdo.fejkmejl@gmail.com;Aniseed Syrup;Condiments;20;10.0
2018-04-02 18:44:52;karin_josephs.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;14;9.65
2018-04-02 18:46:39;paolo_accorti.fejkmejl@gmail.com;Zaanse koeken;Confections;5;9.5
2018-04-02 19:01:34;peter_franken.fejkmejl@gmail.com;Mozzarella di Giovanni;Dairy Products;25;34.8
2018-04-02 19:05:36;philip_cramer.fejkmejl@gmail.com;Inlagd Sill;Seafood;40;19.0
2018-04-02 19:09:50;aria_cruz.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;50;314.16
2018-04-02 19:23:44;yvonne_moncada.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;2;55.0
2018-04-02 19:26:03;pirkko_koskitalo.fejkmejl@gmail.com;Tourtière;Meat/Poultry;3;7.45
2018-04-02 19:42:35;helen_bennett.fejkmejl@gmail.com;Sirop d'érable;Condiments;30;28.5
2018-04-02 19:44:15;carlos_gonzález.fejkmejl@gmail.com;Queso Cabrales;Dairy Products;20;21.0
2018-04-02 19:47:22;hari_kumar.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;20;45.6
2018-04-02 19:51:26;janete_limeira.fejkmejl@gmail.com;Chang;Beverages;20;19.0
2018-04-02 19:52:04;patricia_mckenna.fejkmejl@gmail.com;Singaporean Hokkien Fried Mee;Grains/Cereals;20;14.0
2018-04-03 08:01:56;frédérique_citeaux.fejkmejl@gmail.com;Spegesild;Seafood;5;12.0
2018-04-03 08:05:15;carlos_gonzález.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;15;13.0
2018-04-03 08:36:59;paula_wilson.fejkmejl@gmail.com;Schoggi Schokolade;Confections;50;43.9
2018-04-03 08:43:15;giovanni_rovelli.fejkmejl@gmail.com;Gumbär Gummibärchen;Confections;30;31.23
2018-04-03 08:48:40;pirkko_koskitalo.fejkmejl@gmail.com;Sir Rodney's Scones;Confections;10;
2018-04-03 09:22:42;henriette_pfalzheim.fejkmejl@gmail.com;Tarte au sucre;Confections;20;49.3
2018-04-03 09:23:52;felipe_izquierdo.fejkmejl@gmail.com;Outback Lager;Beverages;60;15.0
2018-04-03 09:24:00;horst_kloss.fejkmejl@gmail.com;Wimmers gute Semmelknödel;Grains/Cereals;48;33.25
2018-04-03 09:27:58;antonio_moreno.fejkmejl@gmail.com;Perth Pasties;Meat/Poultry;25;32.8
2018-04-03 09:28:24;janine_labrune.fejkmejl@gmail.com;Ikura;Seafood;10;31.0
2018-04-03 09:46:26;pirkko_koskitalo.fejkmejl@gmail.com;Chef Anton's Cajun Seasoning;Condiments;25;22.0
2018-04-03 10:00:48;pirkko_koskitalo.fejkmejl@gmail.com;Perth Pasties;Meat/Poultry;10;32.8
2018-04-03 10:02:30;liz_nixon.fejkmejl@gmail.com;Pavlova;Confections;10;17.45
2018-04-03 10:10:33;pascale_cartrain.fejkmejl@gmail.com;Chef Anton's Cajun Seasoning;Condiments;21;22.0
2018-04-03 10:23:29;renate_messner.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;14;38.0
2018-04-03 10:25:23;paula_wilson.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;30;4.5
2018-04-03 10:26:41;carlos_gonzález.fejkmejl@gmail.com;Ikura;Seafood;30;31.0
2018-04-03 10:27:08;pascale_cartrain.fejkmejl@gmail.com;Ipoh Coffee;Beverages;12;46.0
2018-04-03 10:33:33;peter_franken.fejkmejl@gmail.com;Flotemysost;Dairy Products;60;21.5
2018-04-03 10:36:47;jose_pavarotti.fejkmejl@gmail.com;Perth Pasties;Meat/Poultry;120;32.8
2018-04-03 10:37:48;mario_pontes.fejkmejl@gmail.com;Côte de Blaye;Beverages;4;263.5
2018-04-03 10:42:57;felipe_izquierdo.fejkmejl@gmail.com;Teatime Chocolate Biscuits;Confections;15;9.2
2018-04-03 10:48:55;carlos_hernández.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;10;4.5
2018-04-03 10:56:20;matti_karttunen.fejkmejl@gmail.com;Lakkalikööri;Beverages;10;18.0
2018-04-03 11:06:04;pirkko_koskitalo.fejkmejl@gmail.com;Chai;Beverages;10;18.0
2018-04-03 11:09:27;zbyszek.nowak.fejkmejl@gmail.com;Escargots de Bourgogne;Seafood;15;13.25
2018-04-03 11:20:27;isabel_de_castro.fejkmejl@gmail.com;Chai;Beverages;15;18.0
2018-04-03 11:26:20;karin_josephs.fejkmejl@gmail.com;Sasquatch Ale;Beverages;10;14.0
2018-04-03 11:44:42;giovanni_rovelli.fejkmejl@gmail.com;Chef Anton's Cajun Seasoning;Condiments;5;22.0
2018-04-03 11:44:45;palle_ibsen.fejkmejl@gmail.com;Tourtière;Meat/Poultry;18;7.45
2018-04-03 11:50:14;peter_franken.fejkmejl@gmail.com;Inlagd Sill;Seafood;20;19.0
2018-04-03 11:54:23;rita_müller.fejkmejl@gmail.com;Sir Rodney's Scones;Confections;40;10.0
2018-04-03 12:05:54;karin_josephs.fejkmejl@gmail.com;Filo Mix;Grains/Cereals;15;7.0
2018-04-03 12:07:15;pascale_cartrain.fejkmejl@gmail.com;Singaporean Hokkien Fried Mee;Grains/Cereals;50;14.0
2018-04-03 12:08:51;guillermo_fernández.fejkmejl@gmail.com;Chai;Beverages;12;18.0
2018-04-03 12:20:12;horst_kloss.fejkmejl@gmail.com;Rogede sild;Seafood;100;9.5
2018-04-03 12:28:04;christina_berglund.fejkmejl@gmail.com;Zaanse koeken;Confections;21;9.5
2018-04-03 12:29:57;carlos_gonzález.fejkmejl@gmail.com;Gudbrandsdalsost;Dairy Products;15;36.0
2018-04-03 12:31:56;alexander_feuer.fejkmejl@gmail.com;Tarte au sucre;Confections;20;49.3
2018-04-03 12:35:51;lino_rodriguez.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;12;38.0
2018-04-03 12:46:14;lúcia_carvalho.fejkmejl@gmail.com;Northwoods Cranberry Sauce;Condiments;30;40.0
2018-04-03 12:46:41;aria_cruz.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;15;4.5
2018-04-03 12:48:16;pascale_cartrain.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;50;55.0
2018-04-03 13:06:00;roland_mendel.fejkmejl@gmail.com;Tunnbröd;Grains/Cereals;60;9.0
2018-04-03 13:24:42;laurence_lebihan.fejkmejl@gmail.com;Northwoods Cranberry Sauce;Condiments;10;
2018-04-03 13:26:06;jean_fresnière.fejkmejl@gmail.com;Borówka Basia;Luxury;42;21.37
2018-04-03 13:28:28;carlos_hernández.fejkmejl@gmail.com;Pâté chinois;Meat/Poultry;2;24.0
2018-04-03 13:36:33;daniel_tonini.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;10;314.16
2018-04-03 13:43:09;pedro_afonso.fejkmejl@gmail.com;Sirop d'érable;Condiments;4;28.5
2018-04-03 13:45:53;philip_cramer.fejkmejl@gmail.com;Gumbär Gummibärchen;Confections;40;31.23
2018-04-03 13:49:42;philip_cramer.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;20;4.5
2018-04-03 13:51:43;bernardo_batista.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;10;13.0
2018-04-03 13:56:34;michael_holz.fejkmejl@gmail.com;Lakkalikööri;Beverages;2;18.0
2018-04-03 14:00:24;paula_parente.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;15;55.0
2018-04-03 14:01:11;roland_mendel.fejkmejl@gmail.com;Gumbär Gummibärchen;Confections;35;31.23
2018-04-03 14:06:28;jose_pavarotti.fejkmejl@gmail.com;Chai;Beverages;5;
2018-04-03 14:06:35;thomas_hardy.fejkmejl@gmail.com;Inlagd Sill;Seafood;16;19.0
2018-04-03 14:06:52;jose_pavarotti.fejkmejl@gmail.com;Borówka Basia;Luxury;32;21.37
2018-04-03 14:07:27;patricio_simpson.fejkmejl@gmail.com;Röd Kaviar;Seafood;10;15.0
2018-04-03 14:11:12;sven_ottlieb.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;9;9.65
2018-04-03 14:12:15;maurizio_moroni.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;12;45.6
2018-04-03 14:13:18;hanna_moos.fejkmejl@gmail.com;Zaanse koeken;Confections;14;FREE
2018-04-03 14:14:37;annette_roulet.fejkmejl@gmail.com;Gula Malacca;Condiments;16;19.45
2018-04-03 14:14:38;peter_franken.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;40;4.5
2018-04-03 14:20:41;annette_roulet.fejkmejl@gmail.com;Inlagd Sill;Seafood;20;19.0
2018-04-03 14:26:59;catherine_dewey.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;16;38.0
2018-04-03 14:29:03;jean_fresnière.fejkmejl@gmail.com;Tarte au sucre;Confections;28;49.3
2018-04-03 14:39:31;aria_cruz.fejkmejl@gmail.com;Perth Pasties;Meat/Poultry;25;32.8
2018-04-03 14:49:19;jose_pavarotti.fejkmejl@gmail.com;Röd Kaviar;Seafood;35;15.0
2018-04-03 14:55:02;maurizio_moroni.fejkmejl@gmail.com;Tourtière;Meat/Poultry;10;7.45
2018-04-03 14:56:21;elizabeth_lincoln.fejkmejl@gmail.com;Zaanse koeken;Confections;30;9.5
2018-04-03 14:59:04;mary_saveley.fejkmejl@gmail.com;Sirop d'érable;Condiments;30;28.5
2018-04-03 15:02:26;alexander_feuer.fejkmejl@gmail.com;Zaanse koeken;Confections;12;9.5
2018-04-03 15:09:48;jean_fresnière.fejkmejl@gmail.com;Grandma's Boysenberry Spread;Condiments;70;25.0
2018-04-03 15:23:46;janete_limeira.fejkmejl@gmail.com;Konbu;Seafood;30;6.0
2018-04-03 15:24:59;art_braunschweiger.fejkmejl@gmail.com;Tourtière;Meat/Poultry;40;7.45
2018-04-03 15:33:12;michael_holz.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;30;55.0
2018-04-03 15:43:17;maurizio_moroni.fejkmejl@gmail.com;Filo Mix;Grains/Cereals;4;FREE
2018-04-03 15:45:28;mario_pontes.fejkmejl@gmail.com;Louisiana Fiery Hot Pepper Sauce;Condiments;36;21.05
2018-04-03 15:46:59;martín_sommer.fejkmejl@gmail.com;Thüringer Rostbratwurst;Meat/Poultry;20;123.79
2018-04-03 16:06:25;philip_cramer.fejkmejl@gmail.com;Queso Manchego La Pastora;Dairy Products;36;FREE
2018-04-03 16:08:30;mary_saveley.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;20;9.65
2018-04-03 16:18:13;jean_fresnière.fejkmejl@gmail.com;Scottish Longbreads;Confections;30;12.5
2018-04-03 16:51:06;jean_fresnière.fejkmejl@gmail.com;Camembert Pierrot;Dairy Products;70;34.0
2018-04-03 17:05:35;francisco_chang.fejkmejl@gmail.com;Gravad lax;Seafood;1;26.0
2018-04-03 17:07:53;roland_mendel.fejkmejl@gmail.com;Aniseed Syrup;Condiments;20;10.0
2018-04-03 17:14:54;paula_wilson.fejkmejl@gmail.com;Mascarpone Fabioli;Dairy Products;40;32.0
2018-04-03 17:33:51;victoria_ashworth.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;3;53.0
2018-04-03 17:39:36;eduardo_saavedra.fejkmejl@gmail.com;NuNuCa Nuß-Nougat-Creme;Confections;5;FREE
2018-04-03 17:45:20;philip_cramer.fejkmejl@gmail.com;Boston Crab Meat;Seafood;60;18.4
2018-04-03 17:48:52;jytte_petersen.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;35;13.0
2018-04-03 17:56:21;roland_mendel.fejkmejl@gmail.com;Tourtière;Meat/Poultry;80;7.45
2018-04-03 17:58:52;horst_kloss.fejkmejl@gmail.com;Geitost;Dairy Products;16;2.5
2018-04-03 18:02:01;felipe_izquierdo.fejkmejl@gmail.com;Ravioli Angelo;Grains/Cereals;28;19.5
2018-04-03 18:03:08;janete_limeira.fejkmejl@gmail.com;Spegesild;Seafood;35;12.0
2018-04-03 18:11:27;laurence_lebihan.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;20;53.0
2018-04-03 18:21:09;jose_pavarotti.fejkmejl@gmail.com;Sasquatch Ale;Beverages;30;14.0
2018-04-03 18:23:03;palle_ibsen.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;5;13.0
2018-04-03 18:31:15;anabela_domingues.fejkmejl@gmail.com;Escargots de Bourgogne;Seafood;30;13.25
2018-04-03 18:33:19;lúcia_carvalho.fejkmejl@gmail.com;Geitost;Dairy Products;40;
2018-04-03 18:36:39;patricia_mckenna.fejkmejl@gmail.com;Inlagd Sill;Seafood;6;19.0
2018-04-03 18:49:04;elizabeth_lincoln.fejkmejl@gmail.com;Ikura;Seafood;16;31.0
2018-04-03 18:55:52;horst_kloss.fejkmejl@gmail.com;Camembert Pierrot;Dairy Products;49;34.0
2018-04-03 18:58:05;sergio_gutiérrez.fejkmejl@gmail.com;Pavlova;Confections;6;17.45
2018-04-03 19:01:09;paolo_accorti.fejkmejl@gmail.com;Carnarvon Tigers;Seafood;8;62.5
2018-04-03 19:02:07;carlos_gonzález.fejkmejl@gmail.com;Mozzarella di Giovanni;Dairy Products;3;34.8
2018-04-03 19:12:16;georg_pipps.fejkmejl@gmail.com;Gustaf's Knäckebröd;Grains/Cereals;35;21.0
2018-04-03 19:16:03;jose_pavarotti.fejkmejl@gmail.com;Flotemysost;Dairy Products;16;FREE
2018-04-03 19:39:02;antonio_moreno.fejkmejl@gmail.com;Geitost;Dairy Products;30;2.5
2018-04-03 19:39:40;karin_josephs.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;28;38.0
2018-04-03 19:40:13;felipe_izquierdo.fejkmejl@gmail.com;NuNuCa Nuß-Nougat-Creme;Confections;6;14.0
2018-04-03 19:42:50;palle_ibsen.fejkmejl@gmail.com;Tourtière;Meat/Poultry;50;7.45
2018-04-03 19:53:16;roland_mendel.fejkmejl@gmail.com;Camembert Pierrot;Dairy Products;100;34.0
2018-04-04 08:01:41;annette_roulet.fejkmejl@gmail.com;Pavlova;Confections;20;17.45
2018-04-04 08:05:52;roland_mendel.fejkmejl@gmail.com;Carnarvon Tigers;Seafood;9;
2018-04-04 08:07:47;helen_bennett.fejkmejl@gmail.com;Flotemysost;Dairy Products;15;21.5
2018-04-04 08:10:15;rita_müller.fejkmejl@gmail.com;Wimmers gute Semmelknödel;Grains/Cereals;15;33.25
2018-04-04 08:11:52;janete_limeira.fejkmejl@gmail.com;Pavlova;Confections;30;17.45
2018-04-04 08:12:50;daniel_tonini.fejkmejl@gmail.com;Filo Mix;Grains/Cereals;5;7.0
2018-04-04 08:13:21;yang_wang.fejkmejl@gmail.com;Chai;Beverages;15;18.0
2018-04-04 08:15:38;thomas_hardy.fejkmejl@gmail.com;Ravioli Angelo;Grains/Cereals;40;19.5
2018-04-04 08:31:55;jonas_bergulfsen.fejkmejl@gmail.com;Jack's New England Clam Chowder;Seafood;5;9.65
2018-04-04 08:38:47;pascale_cartrain.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;30;
2018-04-04 08:40:45;maria_larsson.fejkmejl@gmail.com;Manjimup Dried Apples;Produce;10;53.0
2018-04-04 08:43:12;manuel_pereira.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;10;314.16
2018-04-04 09:03:01;pirkko_koskitalo.fejkmejl@gmail.com;Gudbrandsdalsost;Dairy Products;10;36.0
2018-04-04 09:04:46;christina_berglund.fejkmejl@gmail.com;Maxilaku;Confections;15;20.0
2018-04-04 09:17:19;karl_jablonski.fejkmejl@gmail.com;Pavlova;Confections;3;17.45
2018-04-04 09:25:24;pascale_cartrain.fejkmejl@gmail.com;Outback Lager;Beverages;30;15.0
2018-04-04 09:27:56;frédérique_citeaux.fejkmejl@gmail.com;Tourtière;Meat/Poultry;28;7.45
2018-04-04 09:35:45;guillermo_fernández.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;20;FREE
2018-04-04 09:45:23;bernardo_batista.fejkmejl@gmail.com;Teatime Chocolate Biscuits;Confections;4;9.2
2018-04-04 09:45:59;maria_larsson.fejkmejl@gmail.com;Flotemysost;Dairy Products;6;21.5
2018-04-04 09:51:12;elizabeth_lincoln.fejkmejl@gmail.com;Gula Malacca;Condiments;40;19.45
2018-04-04 09:55:44;christina_berglund.fejkmejl@gmail.com;Teatime Chocolate Biscuits;Confections;25;9.2
2018-04-04 10:03:32;jose_pavarotti.fejkmejl@gmail.com;Lakkalikööri;Beverages;80;FREE
2018-04-04 10:12:42;alejandra_camino.fejkmejl@gmail.com;Tourtière;Meat/Poultry;5;7.45
2018-04-04 10:23:55;zbyszek.nowak.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;12;4.5
2018-04-04 10:50:16;catherine_dewey.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;40;
2018-04-04 10:53:32;lúcia_carvalho.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;42;314.16
2018-04-04 10:54:57;yoshi_tannamuri.fejkmejl@gmail.com;Tunnbröd;Grains/Cereals;10;9.0
2018-04-04 10:55:02;miguel_angel_paolino.fejkmejl@gmail.com;Ipoh Coffee;Beverages;5;46.0
2018-04-04 11:12:21;roland_mendel.fejkmejl@gmail.com;Longlife Tofu;Produce;36;10.0
